id,pro_id,device_type,cn_name,name,en_name,is_famous,pro_num,wap_sequence,subcate_id,wx_cnt,star_user_id,all_pro_num,sale_level,logo,av_num,article_num,pic_file_type,pro_price_num,review_num,bms_sale_level,sequence,trademark_pic,first_word
1420,642,phone,中兴,ZTE（中兴）,ZTE,1,86,4720,57,1857,zol_lxt@star,833,1,1.jpg,58,88,jpg,86,14784,2,4720,123940,Z
1421,57398,phone,U-MAGIC,U-MAGIC,U-MAGIC,,9,4440,57,,,9,1,U-MAGICde.jpg,,10,jpg,9,2244,,4440,1108279,U
1422,1069,phone,索尼移动,索尼移动,,1,17,4700,57,,zol_thsmtx@star,477,1,1.jpg,13,152,jpg,17,2243,2,4700,9106,S
1423,35224,phone,SUGAR,SUGAR,SUGAR,,1,3420,57,,,30,3,（0320）SUGAR糖果手机展示图.jpg,,,jpg,1,1,2,3420,1100328,S
1424,55731,phone,红米,Redmi（红米）,Redmi,,222,4900,57,,,276,1,1 - 副本 (3).jpg,1492,8646,jpg,222,332219,,4900,1107343,H
1425,35102,phone,尼凯恩,neken（尼凯恩）,neken,,6,3400,57,,,9,1,100x50中关村neken尼凯恩logo.jpg,,,jpg,6,1471,,3400,1100211,N
1426,55532,phone,柔宇,ROYOLE（柔宇）,ROYOLE,,7,4320,57,,,7,1,未标题-2.jpg,4,1,jpg,7,653,,4320,1106979,R
1427,50840,phone,荣耀,荣耀,,1,223,8200,57,,zydjs@star,413,3,160.jpg,1238,4819,jpg,223,190973,,8230,1104119,R
1428,52789,phone,雷鸟,雷鸟,,,2,3800,57,,,2,1,1.jpg,,,jpg,2,114,,3800,1105120,L
1429,54920,phone,传音,TRANSSION（传音）,TRANSSION,,5,4060,57,,,9,1,1.jpg,,5,jpg,5,,,4060,1106696,C
1430,56901,phone,Unihertz,Unihertz,Unihertz,,7,4240,57,,,7,1,Unihertz1.jpg,,7,jpg,7,301,,4240,1107807,U
1431,41373,phone,ROG,ROG,ROG,,35,4640,57,,,46,3,1.jpg,33,107,jpg,35,8041,,4640,1105270,R
1432,41412,phone,VERTU,VERTU,VERTU,,51,4420,57,,VERTU99,70,1,1.jpg,,207,jpg,51,122,,4420,1105595,V
1433,171,phone,TCL,TCL,TCL,1,1,3480,57,133,,360,1,1.jpg,,,jpg,1,1,3,3480,162,T
1434,295,phone,Moto,Moto,Moto,1,63,4740,57,430,wfsmart@star,718,1,33.jpg,31,410,jpg,63,22447,2,4740,207,M
1435,1081,phone,纽曼,Newsmy（纽曼）,Newsmy,1,55,4080,57,,niumancuncu,163,1,160.jpg,,1,jpg,55,2544,,4080,9104,N
1436,41933,phone,百合,BIHEE（百合）,BIHEE,,16,3660,57,,,17,1,weblogo.jpg,,,jpg,16,114,,3660,1104823,B
1437,297,phone,诺基亚,NOKIA（诺基亚）,NOKIA,1,55,4660,57,855,zol_thsmtx@star,826,1,1.jpg,17,36,jpg,55,9481,2,4660,209,N
1438,35416,phone,中国电信,中国电信,,,7,4120,57,,,7,3,未标题-1.jpg,,4,jpg,7,202,,4120,1106510,Z
1439,55542,phone,征服,CONQUEST（征服）,CONQUEST,,23,3920,57,,,23,1,征服手机logo.jpg,,,jpg,23,599,,3920,1106986,Z
1440,34645,phone,小米,小米,,1,141,8020,57,786,wuhansheyingjia@star,383,1,1 - 副本.jpg,2959,7665,jpg,141,162267,2,8220,1092545,X
1441,35579,phone,一加,OnePlus（一加）,OnePlus,,77,8080,57,72,zol_thsmtx@star,116,3,300300.jpg,1656,4056,jpg,77,37614,2,8210,1102202,Y
1442,57921,phone,鼎桥通信,TD Tech（鼎桥通信）,TD Tech,,7,4460,57,,,7,1,鼎桥logo-2022-2 - 副本 (2).jpg,,2,jpg,7,,,4460,1108770,D
1443,1434,phone,魅族,MEIZU（魅族）,MEIZU,1,38,8160,57,20,zol_lxt@star,191,1,7.jpg,327,1405,jpg,38,25734,2,8200,9102,M
1444,1632,phone,金立,金立,,1,35,4520,57,913,wuhansheyingjia@star,499,1,1.jpg,,5,jpg,35,387,2,4520,135321,J
1445,33992,phone,乐视,乐视,,,11,4220,57,,zol_lxt@star,46,3,1.jpg,3,1,jpg,11,,2,4220,854295,L
1446,1795,phone,vivo,vivo,vivo,1,261,8300,57,326,wuhansheyingjia@star,578,1,{C3ED1AF1-E5C3-44E6-839C-84AC6D741F7C}.jpg,586,3280,jpg,261,67214,2,8390,144307,V
1447,53005,phone,詹姆士,zhanmushi（詹姆士）,zhanmushi,,8,3600,57,,,18,1,,,1,,8,4,,3600,,Z
1448,1673,phone,OPPO,OPPO,OPPO,1,223,8280,57,615,zbkw@star,473,1,111.jpg,1778,3726,jpg,223,144378,2,8380,37037,O
1449,35179,phone,美图,美图,,,4,3880,57,,zol_thsmtx@star,32,1,5.jpg,2,,jpg,4,29,2,3880,1102194,M
1450,57961,phone,魅蓝,魅蓝,,,6,3840,57,,,6,1,25447742 - 副本 (2).jpg,,,jpg,6,1,,3840,1108813,M
1451,53640,phone,ioutdoor,ioutdoor,ioutdoor,,8,3700,57,,uphone888,8,1,ioutdoor.jpg,,1,jpg,8,148,,3700,1105567,I
1452,35333,phone,欧奇,OUKI（欧奇）,OUKI,,3,3520,57,,,7,1,殴奇LOGO.jpg,,,jpg,3,1,,3520,1100909,O
1453,53520,phone,克里特,KRETA（克里特）,KRETA,,13,4300,57,,,15,1,logo.jpg,,10,jpg,13,93,,4300,1105436,K
1454,613,phone,华为,华为,,1,243,8260,57,2854,wfsmart@star,811,1,huawei_logo.png,4417,2812,png,243,177193,2,8900,476,H
1455,57729,phone,麦芒,麦芒,,,8,4580,57,,,8,1,ChMkKWD2XIWITgd4AAB-3qJnAUQAAR9bAPjqeEAAH72047.jpg,,9,jpg,8,26,,4580,1108557,M
1456,53765,phone,黑鲨,黑鲨,,,26,4560,57,,,47,1,LOGO.jpg,28,9,jpg,26,24055,,4560,1105640,H
1457,12772,phone,黑莓,BlackBerry（黑莓）,BlackBerry,1,2,3940,57,,eadmin2,144,1,未标题-1.jpg,,,jpg,2,20,2,3940,109802,H
1458,41365,phone,易百年,易百年,,,6,3300,57,,,13,1,logo.jpg,,,jpg,6,7,,3300,1104821,Y
1459,35320,phone,小辣椒,小辣椒,,,52,4160,57,120,eadmin,119,1,15.jpg,,,jpg,52,644,2,4160,1102205,X
1460,32570,phone,索爱,Soaiy（索爱）,Soaiy,,24,4200,57,,,24,1,1.jpg,,2,jpg,24,3512,,4200,180030,S
1461,35121,phone,MANN,MANN,MANN,,1,3260,57,,,13,1,5.jpg,,,jpg,1,126,2,3260,1102195,M
1462,63934,phone,小度青禾,小度青禾,,,2,3760,57,,,2,1,,,2,,2,,,3760,1109538,X
1463,55075,phone,iQOO,iQOO,iQOO,,161,4880,57,,,201,1,产品库焦点图1053-351.jpg,831,3388,jpg,161,139708,,8225,1107739,I
1464,57491,phone,DOOGEE,DOOGEE,DOOGEE,,1,3280,57,,,1,1,Doogeede.jpg,,,jpg,1,,,3280,1108350,D
1465,143,phone,LG,LG,LG,1,9,4040,57,557,zol_thsmtx@star,824,3,1.jpg,,,jpg,9,11,,4040,183,L
1466,57930,phone,IPRO,IPRO,IPRO,,1,3380,57,,,1,1,logo1 - 副本 (2).png,,,png,1,1,,3380,1108780,I
1467,35405,phone,誉品,YEPEN（誉品）,YEPEN,,6,3340,57,,,12,1,19.jpg,,,jpg,6,4,,3340,1102208,Y
1468,221,phone,海尔,Haier（海尔）,Haier,1,2,3900,57,194,,330,3,1.jpg,,,jpg,2,,,3990,87,H
1469,57933,phone,Hi nova,Hi nova,Hi nova,,15,4600,57,,,15,1,008ni5Edly8gwr8a2dtxbj30u00u0jrl.jpg,,41,jpg,15,1116,,4600,1108784,H
1470,57658,phone,NZONE,NZONE,NZONE,,6,4280,57,,,6,1,nzone.jpg,,,jpg,6,194,,4280,1108492,N
1471,300,phone,夏普,Sharp（夏普）,Sharp,1,5,4000,57,155,,233,1,1.jpg,,1,jpg,5,7,2,4000,83093,X
1472,35005,phone,努比亚,努比亚,,1,114,8100,57,219,zol_thsmtx@star,212,1,160x80.jpg,202,992,jpg,114,22781,2,8195,1099815,N
1473,1763,phone,联想,联想,,1,20,4480,57,,wfsmart@star,689,1,1111.jpg,64,8,jpg,20,8503,2,4480,29355,L
1474,544,phone,苹果,Apple（苹果）,Apple,1,77,8220,57,863,zydjs@star,169,1,苹果黑底照片.jpeg,3749,9962,jpeg,77,183058,2,8280,9103,P
1475,58347,phone,VIKK,VIKK,VIKK,,1,3460,57,,,1,1,,,,,1,,,3460,1109260,V
1476,227,phone,华硕,ASUS（华硕）,ASUS,1,10,4400,57,294,,130,1,1.jpg,,4,jpg,10,6,2,4400,75,H
1477,49202,phone,8848,8848,8848,,8,4260,57,,xinjingyingtongxun@s,37,3,ChMlWVW4fyyIL548AAAgRBU-nrwAAHx4gBnLVgAACBc691.jpg,1,7,jpg,8,115,,4260,1103985,8
1478,57939,phone,Nothing,Nothing,Nothing,,6,3960,57,,,6,1,微信截图_20220628103301 - 副本 (2).jpg,,5,jpg,6,,,3960,1109205,N
1479,1606,phone,酷派,Coolpad（酷派）,Coolpad,1,43,4380,57,2079,eadmin,446,1,酷派LOGO.jpg,,2,jpg,43,3210,3,4380,129520,K
1480,35849,phone,锤子科技,Smartisan（锤子科技）,Smartisan,1,1,3720,57,,csqn80809@star,34,1,logo大.jpg,,,jpg,1,1,2,3720,1102197,C
1481,52848,phone,守护宝,angelcare（守护宝）,angelcare,,21,3540,57,,,23,1,守护宝官方图.jpg,,,jpg,21,94,,3540,1105139,S
1482,1922,phone,谷歌,Google（谷歌）,Google,1,15,4680,57,,,34,1,1.jpg,,63,jpg,15,33,,4680,80985,G
1483,53979,phone,创星,ATMAN（创星）,ATMAN,,18,3500,57,,,23,1,,,,,18,103,,3500,,C
1484,50829,computer,VAIO,VAIO,VAIO,,117,4480,16,1,,145,3,4661624266541.jpg,,3,jpg,117,4376,,4390,1104117,V
1485,58033,computer,ThinkBook,ThinkBook,ThinkBook,,151,4860,16,1,,153,1,333.jpg,22,948,jpg,151,979,,4860,1108876,T
1486,35393,computer,雷神,Thunderobot（雷神）,Thunderobot,,246,5009,16,1,672hpj,414,3,160.jpg,50,73,jpg,246,27895,2,5009,1101815,L
1487,151,computer,NEC,NEC,NEC,1,1,3840,16,32,,122,1,160.jpg,,,jpg,1,1,,3840,181,N
1488,34305,computer,未来人类,Terrans Force（未来人类）,Terrans Force,1,76,4520,16,1,,393,1,1.jpg,,9,jpg,76,310,2,4520,950296,W
1489,36607,computer,火影,火影,,,64,4480,16,1,huoyingnb,104,1,1.jpg,,31,jpg,64,2645,2,4480,1102271,H
1490,57503,computer,Dynabook,Dynabook,Dynabook,,24,4020,16,1,,24,1,dynabook_logo - 副本.jpg,,,jpg,24,34,,4020,1108362,D
1491,234,computer,技嘉,GIGABYTE（技嘉）,GIGABYTE,1,67,4200,16,28,,224,1,1.jpg,8,,jpg,67,545,,4200,70,J
1492,55643,computer,京东京造,京东京造,,,5,4140,16,1,,5,1,1.jpg,,,jpg,5,1348,,4140,1107255,J
1493,1818,computer,H3C,H3C,H3C,1,14,4160,16,1,,14,1,2.jpg,,,jpg,14,,,4160,120941,H
1494,54916,computer,AVITA,AVITA,AVITA,,2,3760,16,1,,6,1,logo.jpg,,,jpg,2,2,,3760,1106693,A
1495,57946,computer,AWO,AWO,AWO,,1,3700,16,1,,1,1,dd19168bccc64f3a.jpg,,,jpg,1,5,,3700,1108795,A
1496,98,computer,三星,Samsung（三星）,Samsung,1,43,5011,16,1104,jinanshiqiang@star,2253,3,1.jpg,33,2,jpg,43,402,2,5011,157,S
1497,36391,computer,炫龙,Shinelon（炫龙）,Shinelon,,27,4420,16,1,,177,3,LOGO.jpg,1,,jpg,27,75,2,4420,1102131, 
1498,36793,computer,中柏,jumper（中柏）,jumper,,29,4360,16,1,,49,3,2.jpg,10,15,jpg,29,1340,2,4360,1102908,Z
1499,37322,computer,GPD,GPD,GPD,,10,4260,16,1,,12,1,GPD.png,,1,png,10,803,,4260,1103346,G
1500,58088,computer,iceBook,iceBook,iceBook,,1,3720,16,1,,1,1,,,,,1,,,3720,,I
1501,160,computer,联想,lenovo（联想）,lenovo,1,856,5000,16,3470,wuhanhangyi007@star,5565,1,联想logo.png,839,1204,png,856,114516,2,8000,96,L
1502,1590,computer,雷蛇,Razer（雷蛇）,Razer,1,77,4500,16,46,,143,1,未标题-2.jpg,10,15,jpg,77,2909,2,4500,84773,L
1503,61855,computer,HUWI,HUWI,HUWI,,150,4380,16,,,150,1,24.jpg,,,jpg,150,,,4380,1109508,H
1504,283,computer,富士通,FUJITSU（富士通）,FUJITSU,,1,3900,16,69,,820,1,fujitsu.jpg,4,4,jpg,1,,2,3900,149,F
1505,1191,computer,神舟,神舟,,1,227,5015,16,823,,1688,1,1.jpg,92,39,jpg,227,15469,2,5015,9109,S
1506,681,computer,宝德,PowerLeader（宝德）,PowerLeader,,1,3680,16,1,,1,1,1.jpg,,,jpg,1,,,3680,135684,B
1507,364,computer,微软,Microsoft（微软）,Microsoft,1,183,4780,16,1,ytxlwl@star,253,1,micro.jpg,26,495,jpg,183,27855,2,5630,297,W
