device_id,cpu,cpu_best,cpu_level,cpu_desc,front_pix,front_pix_best,front_pix_level,front_pix_desc,back_pix,back_pix_level,back_pix_desc,back_pix_best,ram,ram_best,ram_level,ram_desc,battery,battery_best,battery_level,battery_desc,screen,screen_best,screen_level,screen_desc,res_ratio,res_ratio_best,res_ratio_level,res_ratio_desc
1324729,高通 骁龙765G,骁龙8 Gen3,0,"",4800万像素,8000万,58.25,高清级像素,3200万像素,95.5,高清级像素,6000万,8GB,24G,65.04,游戏运行良好,4200mAh,"",25.35,大电池,6.56英寸,8.3英寸,39.92,需双手打字,2376x1080px,3840*2160,26.55,1080P高清
1324731,三星 Exynos 880,骁龙8 Gen3,0,"",4800万像素,8000万,58.25,高清级像素,1600万像素,68.04,高清级像素,6000万,6GB,24G,27.94,游戏运行良好,4500mAh,"",48.05,大电池,6.53英寸,8.3英寸,35.18,需双手打字,2340x1080像素,3840*2160,24.46,1080P高清
1325117,联发科 Helio G85,骁龙8 Gen3,0,"",4800万像素,8000万,58.25,高清级像素,1300万像素,37.96,高清级像素,6000万,4GB,24G,13.4,游戏运行良好,5020mAh,"",87.61,大电池,6.53英寸,8.3英寸,35.18,需双手打字,2340x1080像素,3840*2160,24.46,1080P高清
1325126,联发科 天玑820,骁龙8 Gen3,0,"",4800万像素,8000万,58.25,高清级像素,1600万像素,68.04,高清级像素,6000万,6GB,24G,27.94,游戏运行良好,4520mAh,"",49.34,大电池,6.57英寸,8.3英寸,41.75,需双手打字,2400x1080px,3840*2160,58.41,1080P高清
1325131,联发科 Helio G85,骁龙8 Gen3,0,"",4800万像素,8000万,58.25,高清级像素,1300万像素,37.96,高清级像素,6000万,6GB,24G,27.94,游戏运行良好,5020mAh,"",87.61,大电池,6.53英寸,8.3英寸,35.18,需双手打字,2340x1080像素,3840*2160,24.46,1080P高清
1325132,联发科 天玑820,骁龙8 Gen3,0,"",4800万像素,8000万,58.25,高清级像素,1600万像素,68.04,高清级像素,6000万,8GB,24G,65.04,游戏运行良好,4520mAh,"",49.34,大电池,6.57英寸,8.3英寸,41.75,需双手打字,2400x1080px,3840*2160,58.41,1080P高清
1325136,联发科 天玑820,骁龙8 Gen3,0,"",4800万像素,8000万,58.25,高清级像素,2000万像素,78.11,高清级像素,6000万,8GB,24G,65.04,游戏运行良好,4520mAh,"",49.34,大电池,6.57英寸,8.3英寸,41.75,需双手打字,2400x1080像素,3840*2160,58.41,1080P高清
1325149,联发科 天玑820,骁龙8 Gen3,0,"",4800万像素,8000万,58.25,高清级像素,2000万像素,78.11,高清级像素,6000万,8GB,24G,65.04,游戏运行良好,4520mAh,"",49.34,大电池,6.57英寸,8.3英寸,41.75,需双手打字,2400x1080像素,3840*2160,58.41,1080P高清
1325156,联发科 天玑820,骁龙8 Gen3,0,"",4800万像素,8000万,58.25,高清级像素,1600万像素,68.04,高清级像素,6000万,8GB,24G,65.04,游戏运行良好,4520mAh,"",49.34,大电池,6.57英寸,8.3英寸,41.75,需双手打字,2400x1080px,3840*2160,58.41,1080P高清
1325161,联发科 天玑800,骁龙8 Gen3,0,"",4800万像素,8000万,58.25,高清级像素,1600万像素,68.04,高清级像素,6000万,6GB,24G,27.94,游戏运行良好,4000mAh,"",19.63,大电池,6.53英寸,8.3英寸,35.18,需双手打字,2340x1080px,3840*2160,24.46,1080P高清
1325247,高通 骁龙765G,骁龙8 Gen3,0,"",4800万像素,8000万,58.25,高清级像素,3200万像素,95.5,高清级像素,6000万,8GB,24G,65.04,游戏运行良好,4315mAh,"",29.33,大电池,6.56英寸,8.3英寸,39.92,需双手打字,2376x1080像素,3840*2160,26.55,1080P高清
1325254,高通 骁龙765G,骁龙8 Gen3,0,"",4800万像素,8000万,58.25,高清级像素,3200万像素,95.5,高清级像素,6000万,8GB,24G,65.04,游戏运行良好,4315mAh,"",29.33,大电池,6.56英寸,8.3英寸,39.92,需双手打字,2376x1080像素,3840*2160,26.55,1080P高清
1325348,联发科 天玑800,骁龙8 Gen3,0,"",4800万像素,8000万,58.25,高清级像素,1600万像素,68.04,高清级像素,6000万,8GB,24G,65.04,游戏运行良好,4000mAh,"",19.63,大电池,6.57英寸,8.3英寸,41.75,需双手打字,2400x1080px,3840*2160,58.41,1080P高清
1325402,展锐 虎贲T610,骁龙8 Gen3,0,"",1300万像素,8000万,24.84,高清级像素,500万像素,5.19,普通级像素,6000万,4GB,24G,13.4,游戏运行良好,4000mAh,"",19.63,大电池,5.84英寸,8.3英寸,5.08,可单手打字,,,,
1325424,展锐 虎贲T610,骁龙8 Gen3,0,"",1300万像素,8000万,24.84,高清级像素,500万像素,5.19,普通级像素,6000万,6GB,24G,27.94,游戏运行良好,4000mAh,"",19.63,大电池,5.84英寸,8.3英寸,5.08,可单手打字,,,,
1325433,展锐 虎贲T610,骁龙8 Gen3,0,"",1300万像素,8000万,24.84,高清级像素,500万像素,5.19,普通级像素,6000万,6GB,24G,27.94,游戏运行良好,4000mAh,"",19.63,大电池,5.84英寸,8.3英寸,5.08,可单手打字,,,,
1325471,展锐 虎贲T610,骁龙8 Gen3,0,"",1300万像素,8000万,24.84,高清级像素,500万像素,5.19,普通级像素,6000万,6GB,24G,27.94,游戏运行良好,4000mAh,"",19.63,大电池,5.84英寸,8.3英寸,5.08,可单手打字,,,,
1325752,联发科 天玑800,骁龙8 Gen3,0,"",6400万像素,8000万,0,高清级像素,1600万像素,0,高清级像素,6000万,8GB,24G,65.04,游戏运行良好,4300mAh,"",28.99,大电池,6.81英寸,8.3英寸,93.09,需双手打字,2400x1080px,3840*2160,58.41,1080P高清
1325827,联发科 天玑800,骁龙8 Gen3,0,"",4800万像素,8000万,58.25,高清级像素,1600万像素,68.04,高清级像素,6000万,8GB,24G,65.04,游戏运行良好,4000mAh,"",19.63,大电池,6.53英寸,8.3英寸,35.18,需双手打字,2340x1080px,3840*2160,24.46,1080P高清
1325828,联发科 天玑800,骁龙8 Gen3,0,"",4800万像素,8000万,58.25,高清级像素,1600万像素,68.04,高清级像素,6000万,8GB,24G,65.04,游戏运行良好,4000mAh,"",19.63,大电池,6.53英寸,8.3英寸,35.18,需双手打字,2340x1080px,3840*2160,24.46,1080P高清
